上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:110/11/01
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","41.58","+0.41","41.43","41.65","41.42","800,000","33,245,520","288","41.58","8","41.60","2","185,192,000","9,999.95","0.01"
"00687B","國泰20年美債","43.47","+0.58","43.19","43.49","43.19","86,000","3,735,730","27","43.43","35","43.47","1","189,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","36.98","+0.05","36.98","36.98","36.98","100,000","3,698,000","2","36.95","1","36.97","1","294,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","36.55","+0.09","36.56","36.56","36.53","110,000","4,020,420","5","36.55","2","36.58","2","12,186,000","9,999.95","0.01"
"00696B","富邦美債20年","43.25","+0.42","43.06","43.34","43.06","246,000","10,642,600","49","43.25","74","43.29","1","635,181,000","9,999.95","0.01"
"00697B","元大美債7-10","38.75","+0.01","38.75","38.78","38.73","359,000","13,914,470","23","38.75","50","38.78","2","8,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.71","+0.06","19.73","19.73","19.71","151,000","2,976,230","3","19.68","3","19.69","1","1,139,501,000","9,999.95","0.01"
"00719B","元大美債1-3","29.80","+0.01","29.78","29.80","29.74","138,000","4,110,340","10","29.77","2","29.79","1","765,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","44.23","+0.15","44.21","44.29","44.17","94,000","4,159,290","26","44.23","23","44.25","1","786,109,000","9,999.95","0.01"
"00721B","元大中國債3-5","45.03","-0.01","45.08","45.08","45.03","180,000","8,110,400","3","44.96","11","45.03","1","405,622,000","9,999.95","0.01"
"00722B","群益15年IG電信債","47.07","+0.34","46.94","47.07","46.94","130,000","6,112,470","14","47.03","100","47.05","1","998,739,000","9,999.95","0.01"
"00723B","群益15年IG科技債","42.30","+0.26","42.28","42.30","42.28","103,000","4,354,860","7","42.25","10","42.28","1","1,031,083,000","9,999.95","0.01"
"00724B","群益10年IG金融債","41.87","+0.15","41.76","41.87","41.75","128,000","5,355,490","18","41.85","10","41.88","1","1,712,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","44.20","+0.08","44.15","44.20","44.15","116,000","5,121,870","7","44.17","10","44.19","1","1,049,706,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","41.44","+0.10","41.41","41.44","41.33","102,000","4,223,770","4","41.38","1","41.41","1","1,125,989,000","9,999.95","0.01"
"00727B","國泰1-5Y高收債","37.85","+0.05","37.85","37.85","37.83","115,000","4,350,730","6","37.82","16","37.84","2","92,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","19.39","+0.01","19.39","19.39","19.39","1,001,000","19,409,390","15","19.38","100","19.42","1","11,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","47.52","+0.07","47.55","47.66","47.51","145,000","6,897,600","7","47.51","25","47.55","1","812,971,000","9,999.95","0.01"
"00741B","富邦全球高收債","36.95","-0.02","36.94","36.98","36.94","102,000","3,770,380","6","36.95","1","36.97","1","8,128,000","9,999.95","0.01"
"00744B","國泰中國政金債5+","42.11","+0.01","42.11","42.11","42.11","100,000","4,211,000","2","42.10","10","42.12","1","754,228,000","9,999.95","0.01"
"00745B","富邦中政債0-1","40.86","-0.10","40.92","40.92","40.86","100,000","4,089,000","4","40.60","20","41.19","14","4,016,000","9,999.95","0.01"
"00746B","富邦A級公司債","44.13","+0.09","44.09","44.13","43.99","130,000","5,724,590","9","43.99","9","44.06","2","884,464,000","9,999.95","0.01"
"00747B","FH中國政策債","51.25","+0.05","51.15","51.25","51.15","106,000","5,432,000","4","51.15","9","51.20","1","686,000,000","9,999.95","0.01"
"00748B","凱基中國債3-10","41.81","-0.02","41.81","41.81","41.81","100,000","4,181,000","2","41.76","11","41.82","1","609,500,000","9,999.95","0.01"
"00749B","凱基新興債10+","42.04","+0.32","41.91","42.04","41.91","101,000","4,233,040","3","41.90","10","42.04","10","902,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","43.27","+0.25","43.27","43.27","43.27","100,000","4,327,000","4","43.25","11","43.33","1","76,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","44.87","+0.22","44.70","44.92","44.70","191,000","8,563,490","76","44.87","44","44.88","15","1,265,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","46.39","+0.27","46.39","46.39","46.39","104,000","4,824,560","8","46.38","10","46.45","1","152,400,000","9,999.95","0.01"
"00755B","群益15年IG公用債","44.19","+0.27","44.09","44.22","44.09","112,000","4,945,910","17","44.22","1","44.23","1","124,230,000","9,999.95","0.01"
"00756B","群益15年EM主權債","43.98","+0.10","44.03","44.10","43.98","103,000","4,532,110","7","44.02","10","44.07","2","936,800,000","9,999.95","0.01"
"00758B","FH能源債","63.05","+0.10","63.05","63.05","63.05","100,000","6,305,000","2","62.95","10","63.00","1","5,525,000","9,999.95","0.01"
"00759B","FH製藥債","----","---","----","----","----","0","0","0","70.20","10","70.30","1","49,025,000","9,999.95","0.01"
"00760B","FH新興企業債","64.15","+0.20","64.20","64.20","64.15","102,000","6,548,300","4","63.95","13","64.30","18","320,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","45.74","+0.44","45.66","45.74","45.66","112,000","5,118,070","5","45.73","20","45.78","2","1,151,089,000","9,999.95","0.01"
"00764B","群益25年美債","43.85","+0.47","43.58","43.85","43.58","109,000","4,777,890","6","43.75","50","43.83","1","303,000,000","9,999.95","0.01"
"00765B","群益中國政金債","40.00","-0.04","40.00","40.00","40.00","100,000","4,000,000","2","40.01","50","40.13","50","3,000,000","9,999.95","0.01"
"00768B","FH20年美債","69.90","+0.60","69.90","69.90","69.90","100,000","6,990,000","2","69.80","10","69.90","1","100,100,000","9,999.95","0.01"
"00772B","中信高評級公司債","44.16","+0.13","44.03","44.19","44.03","732,000","32,316,740","57","44.15","5","44.16","2","1,243,790,000","9,999.95","0.01"
"00773B","中信優先金融債","44.92","+0.17","44.81","44.99","44.81","228,000","10,242,610","11","44.88","8","44.91","4","1,223,290,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","43.72","+0.24","43.72","43.72","43.72","102,000","4,459,440","6","43.70","11","43.78","1","860,650,000","9,999.95","0.01"
"00778B","凱基金融債20+","45.41","+0.24","45.41","45.41","45.41","100,000","4,541,000","4","45.41","10","45.48","1","794,650,000","9,999.95","0.01"
"00779B","凱基美債25+","43.87","+0.52","43.87","43.87","43.87","100,000","4,387,000","2","43.91","10","43.99","2","263,650,000","9,999.95","0.01"
"00780B","國泰A級金融債","40.11","+0.05","40.08","40.11","40.08","101,000","4,051,080","3","40.06","1","40.09","2","183,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","42.63","+0.33","42.60","42.63","42.60","105,000","4,473,120","4","42.65","10","42.72","10","2,836,000","9,999.95","0.01"
"00782B","國泰A級公用債","41.95","+0.23","41.73","41.95","41.73","117,000","4,905,370","4","41.84","12","41.92","1","2,967,000","9,999.95","0.01"
"00784B","富邦中國投等債","36.35","+0.03","36.39","36.39","36.35","150,000","5,456,500","4","36.30","25","36.39","10","2,993,000","9,999.95","0.01"
"00785B","富邦金融投等債","42.90","+0.09","42.95","42.95","42.90","150,000","6,440,000","6","42.85","20","42.92","1","332,966,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","41.62","+0.23","41.63","41.63","41.62","101,000","4,203,630","3","41.59","28","41.61","1","8,066,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","43.11","+0.25","43.00","43.12","43.00","146,000","6,293,740","8","43.09","26","43.12","10","5,306,000","9,999.95","0.01"
"00788B","元大10年IG電能債","40.83","+0.14","40.77","40.83","40.76","104,000","4,246,100","5","40.80","22","40.85","1","5,706,000","9,999.95","0.01"
"00789B","FH公司債A3","65.70","+0.35","65.70","65.70","65.70","100,000","6,570,000","4","65.60","9","65.70","1","42,600,000","9,999.95","0.01"
